speed,serial,camera,timestamp,latitude,longitude,horizontal_accuracy,gps_last_update_unix,notes,sourceFolder,flower?,boxes_xywh,confs,clss,GPSpoint
50.0,211622067750.0,RS3,20251031_194517_643832Z,39.6270593,-111.6369894,0.014,1761939917.6291246,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1040.52001953125, 170.9356231689453, 58.1192626953125, 50.942626953125], [1004.6478881835938, 162.6187744140625, 26.832275390625, 27.756393432617188]]","[0.8085336089134216, 0.423921674489975]","[2.0, 2.0]","['[  39.62706325 -111.63698987]', '[  39.6270634  -111.63698999]']"
50.0,211622067750.0,RS3,20251031_194517_875359Z,39.6270593,-111.6369894,0.014,1761939917.6291246,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1011.1121215820312, 248.48513793945312, 32.3287353515625, 32.83207702636719]]",[0.3227115869522095],[2.0],['[  39.6270628  -111.63698999]']
50.0,217222062474.0,RS1,20251031_194522_682436Z,39.6270702,-111.6369892,0.014,1761939922.4261303,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1809.3209228515625, 71.79088592529297, 19.273681640625, 42.22367477416992]]",[0.25751373171806335],[1.0],['[  39.62707519 -111.63699245]']
50.0,211622067750.0,RS3,20251031_194523_609204Z,39.6270719,-111.6369892,0.014,1761939923.230693,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1546.863525390625, 32.46798324584961, 40.24853515625, 31.118642807006836]]",[0.3632808327674866],[2.0],['[  39.62707726 -111.63698725]']
50.0,211622067750.0,RS3,20251031_194523_872612Z,39.6270728,-111.6369893,0.014,1761939923.631026,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1620.89892578125, 77.14231872558594, 47.1236572265625, 37.71609878540039]]",[0.5662686228752136],[2.0],['[  39.62707762 -111.63698728]']
50.0,211622067750.0,RS3,20251031_194524_616878Z,39.6270747,-111.6369895,0.014,1761939924.4263537,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1895.7960205078125, 292.05328369140625, 48.135986328125, 73.6634521484375]]",[0.2561776041984558],[2.0],['[  39.62707785 -111.63698751]']
50.0,211622067750.0,RS3,20251031_194526_133614Z,39.6270783,-111.6369895,0.014,1761939926.0299342,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1496.484375, 71.90635681152344, 34.4630126953125, 76.75824737548828]]",[0.7367488741874695],[0.0],['[  39.62708297 -111.63698806]']
50.0,211622067750.0,RS3,20251031_194526_380700Z,39.6270783,-111.6369895,0.014,1761939926.0299342,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1548.06396484375, 117.29814147949219, 36.2139892578125, 85.82901000976562]]",[0.7122923135757446],[0.0],['[  39.62708253 -111.63698805]']
50.0,211622067750.0,RS3,20251031_194526_620009Z,39.6270793,-111.6369895,0.014,1761939926.425604,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1635.428955078125, 201.6002960205078, 44.6865234375, 112.91683959960938]]",[0.4555666148662567],[0.0],['[  39.62708284 -111.63698807]']
50.0,211622067750.0,RS3,20251031_194527_622555Z,39.6270809,-111.6369896,0.014,1761939927.2288797,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1536.50341796875, 25.514766693115234, 54.86962890625, 44.480918884277344]]",[0.7100557088851929],[2.0],['[  39.62708626 -111.63698769]']
50.0,211622067750.0,RS3,20251031_194527_895501Z,39.6270817,-111.6369896,0.014,1761939927.6262617,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1594.138916015625, 79.88706970214844, 60.9674072265625, 55.040435791015625]]",[0.7285329103469849],[2.0],['[  39.6270864  -111.63698774]']
50.0,211622067750.0,RS3,20251031_194528_163854Z,39.6270825,-111.6369896,0.014,1761939928.0297656,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1672.078857421875, 149.85397338867188, 71.64892578125, 64.16761016845703]]",[0.7604734897613525],[2.0],['[  39.62708655 -111.63698777]']
50.0,211622067750.0,RS3,20251031_194528_396756Z,39.6270825,-111.6369896,0.014,1761939928.0297656,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1741.086669921875, 211.3615264892578, 80.71435546875, 71.07467651367188]]",[0.8367931842803955],[2.0],['[  39.62708611 -111.63698779]']
50.0,211622067750.0,RS3,20251031_194528_634495Z,39.6270833,-111.6369896,0.014,1761939928.425841,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1856.957763671875, 310.3023681640625, 88.7750244140625, 78.2947998046875]]",[0.8344405293464661],[2.0],['[  39.62708635 -111.63698779]']
50.0,211622067750.0,RS3,20251031_194530_144997Z,39.6270869,-111.6369898,0.014,1761939930.0300465,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1381.4730224609375, 1054.39794921875, 89.161376953125, 51.2041015625]]",[0.6488222479820251],[2.0],['[  39.62708817 -111.6369899 ]']
50.0,211622067750.0,RS3,20251031_194530_377835Z,39.6270869,-111.6369898,0.014,1761939930.0300465,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1742.8443603515625, 252.30325317382812, 62.12109375, 113.6031494140625]]",[0.33853355050086975],[0.0],['[  39.62709015 -111.63698819]']
50.0,319522065401.0,RS2,20251031_194537_709800Z,39.6271031,-111.6369897,0.014,1761939937.628093,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1017.5678100585938, 30.959884643554688, 60.9820556640625, 55.57411193847656]]",[0.5006103515625],[2.0],['[  39.62710845 -111.6369931 ]']
50.0,217222062474.0,RS1,20251031_194537_773021Z,39.6271031,-111.6369897,0.014,1761939937.628093,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1876.18017578125, 57.608978271484375, 66.1298828125, 68.4871826171875]]",[0.7415964007377625],[2.0],['[  39.6271081  -111.63699265]']
50.0,211622067750.0,RS3,20251031_194537_957736Z,39.6271031,-111.6369897,0.014,1761939937.628093,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[264.91192626953125, 88.05955505371094, 98.88864135742188, 57.64917755126953]]",[0.5450461506843567],[2.0],['[  39.62710771 -111.63699329]']
50.0,211622067750.0,RS3,20251031_194538_177531Z,39.627104,-111.6369897,0.014,1761939938.029241,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[198.02081298828125, 143.37803649902344, 114.91160583496094, 66.44974517822266]]",[0.7052716016769409],[2.0],['[  39.6271081  -111.63699325]']
50.0,211622067750.0,RS3,20251031_194538_476606Z,39.6271051,-111.6369895,0.014,1761939938.427799,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[54.83695602416992, 265.80841064453125, 109.22150421142578, 107.53866577148438]]",[0.4700801372528076],[2.0],['[  39.6271083  -111.63699293]']
50.0,319522065401.0,RS2,20251031_194538_668661Z,39.6271051,-111.6369895,0.014,1761939938.427799,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1070.2950439453125, 396.10748291015625, 93.01214599609375, 93.9373779296875]]",[0.6751241683959961],[2.0],['[  39.62710779 -111.63699291]']
50.0,319522065401.0,RS2,20251031_194538_890775Z,39.627106,-111.6369896,0.014,1761939938.8275158,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1101.222900390625, 630.1751708984375, 109.1103515625, 103.8873291015625]]",[0.8820918798446655],[2.0],['[  39.62710797 -111.63699302]']
50.0,319522065401.0,RS2,20251031_194539_145956Z,39.627106,-111.6369896,0.014,1761939938.8275158,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1137.75927734375, 793.4178466796875, 117.5841064453125, 117.75225830078125]]",[0.8794809579849243],[2.0],['[  39.62710763 -111.636993  ]']
50.0,211622067750.0,RS3,20251031_194539_928084Z,39.6271076,-111.6369896,0.014,1761939939.625898,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1380.4912109375, 32.52348327636719, 43.5113525390625, 60.095821380615234]]",[0.6698942184448242],[2.0],['[  39.62711279 -111.63698847]']
50.0,211622067750.0,RS3,20251031_194540_149027Z,39.6271084,-111.6369897,0.014,1761939940.0306127,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1418.348388671875, 77.51250457763672, 43.67724609375, 94.37126159667969]]",[0.7912778854370117],[2.0],['[  39.62711294 -111.63698863]']
50.0,211622067750.0,RS3,20251031_194540_399052Z,39.6271084,-111.6369897,0.014,1761939940.0306127,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1471.137451171875, 144.8743438720703, 50.775390625, 109.4230728149414]]",[0.8060230016708374],[2.0],['[  39.62711232 -111.63698865]']
50.0,211622067750.0,RS3,20251031_194540_646583Z,39.6271092,-111.6369897,0.014,1761939940.426765,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1516.89990234375, 210.78628540039062, 53.0098876953125, 117.03997802734375]]",[0.8292350172996521],[2.0],['[  39.62711267 -111.63698868]']
50.0,211622067750.0,RS3,20251031_194540_949560Z,39.62711,-111.6369896,0.014,1761939940.8281658,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1604.36376953125, 316.8407287597656, 64.6834716796875, 129.6566619873047]]",[0.8305784463882446],[2.0],['[  39.6271129  -111.63698858]']
50.0,211622067750.0,RS3,20251031_194541_191565Z,39.62711,-111.6369896,0.014,1761939940.8281658,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1750.94873046875, 467.7215270996094, 78.5218505859375, 141.01080322265625]]",[0.8531919717788696],[2.0],['[  39.62711233 -111.63698852]']
50.0,217222062474.0,RS1,20251031_194543_544690Z,39.6271152,-111.6369893,0.014,1761939943.2296865,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1865.9505615234375, 49.211875915527344, 16.926025390625, 46.80255126953125]]",[0.26573866605758667],[1.0],['[  39.62712042 -111.63699214]']
50.0,319522065401.0,RS2,20251031_194543_684108Z,39.6271161,-111.6369892,0.014,1761939943.627106,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[990.6380615234375, 30.537120819091797, 116.244873046875, 57.22191619873047]]",[0.8031071424484253],[2.0],['[  39.62712144 -111.63699273]']
50.0,211622067750.0,RS3,20251031_194543_691692Z,39.6271161,-111.6369892,0.014,1761939943.627106,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[383.9129638671875, 27.869680404663086, 100.37271118164062, 52.3980827331543], [694.125244140625, 154.18960571289062, 65.32861328125, 95.52664947509766]]","[0.7086769938468933, 0.32799842953681946]","[2.0, 0.0]","['[  39.62712139 -111.63699261]', '[  39.62712001 -111.63699089]']"
50.0,217222062474.0,RS1,20251031_194543_882734Z,39.6271161,-111.6369892,0.014,1761939943.627106,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[1736.4111328125, 34.58684539794922, 119.6082763671875, 64.86485290527344]]",[0.8679887056350708],[2.0],['[  39.62712139 -111.63699259]']
50.0,211622067750.0,RS3,20251031_194543_998472Z,39.6271161,-111.6369892,0.014,1761939943.627106,skirt on - no depth images - Orientation:East,10-31_2pm,1,"[[651.7662353515625, 36.30413055419922, 59.27423095703125, 70.08468627929688], [312.62213134765625, 53.42241287231445, 101.44384765625, 102.37401580810547]]","[0.825312614440918, 0.7607967853546143]","[2.0, 2.0]","['[  39.62712118 -111.63699133]', '[  39.62712083 -111.63699265]']"
